x,y,unit,STRATUM,Year,UNIT
-142.625994321971,63.4404848383596,13B,20,1983,3
-142.634667549759,63.3797722438456,13B,16,1983,3
-142.634667549759,63.3884454716333,13B,20,1983,3
-142.634667549759,63.397118699421,13B,16,1983,3
-142.634667549759,63.4057919272087,13B,16,1983,3
-142.634667549759,63.4144651549964,13B,16,1983,3
-142.634667549759,63.4231383827841,13B,30,1983,3
-142.634667549759,63.4318116105719,13B,20,1983,3
-142.634667549759,63.4404848383596,13B,20,1983,3
-142.634667549759,63.4491580661473,13B,16,1983,3
-142.634667549759,63.457831293935,13B,16,1983,3
-142.643340777547,63.3797722438456,13B,16,1983,3
-142.643340777547,63.3884454716333,13B,16,1983,3
-142.643340777547,63.397118699421,13B,16,1983,3
-142.643340777547,63.4057919272087,13B,16,1983,3
-142.643340777547,63.4144651549964,13B,15,1983,3
-142.643340777547,63.4231383827841,13B,15,1983,3
-142.643340777547,63.4318116105719,13B,20,1983,3
-142.643340777547,63.4404848383596,13B,20,1983,3
-142.643340777547,63.4491580661473,13B,20,1983,3
-142.643340777547,63.457831293935,13B,16,1983,3
-142.652014005335,63.3797722438456,13B,16,1983,3
-142.652014005335,63.3884454716333,13B,16,1983,3
-142.652014005335,63.397118699421,13B,16,1983,3
-142.652014005335,63.4057919272087,13B,16,1983,3
-142.652014005335,63.4144651549964,13B,15,2013,3
-142.652014005335,63.4231383827841,13B,16,1983,3
-142.652014005335,63.4318116105719,13B,20,1983,3
-142.652014005335,63.4404848383596,13B,20,1983,3
-142.652014005335,63.4491580661473,13B,16,1983,3
-142.652014005335,63.457831293935,13B,20,1983,3
-142.660687233122,63.3797722438456,13B,16,1983,3
-142.660687233122,63.3884454716333,13B,16,1983,3
-142.660687233122,63.397118699421,13B,16,1983,3
-142.660687233122,63.4057919272087,13B,16,1983,3
-142.660687233122,63.4144651549964,13B,15,1983,3
-142.660687233122,63.4231383827841,13B,16,1983,3
-142.660687233122,63.4318116105719,13B,16,1983,3
-142.660687233122,63.4404848383596,13B,16,1983,3
-142.660687233122,63.4491580661473,13B,16,1983,3
-142.660687233122,63.457831293935,13B,16,1983,3
-142.66936046091,63.3797722438456,13B,16,1983,3
-142.66936046091,63.3884454716333,13B,20,1983,3
-142.66936046091,63.397118699421,13B,16,1983,3
-142.66936046091,63.4057919272087,13B,16,1983,3
-142.66936046091,63.4144651549964,13B,16,1983,3
-142.66936046091,63.4231383827841,13B,16,1983,3
-142.66936046091,63.4318116105719,13B,16,1983,3
-142.66936046091,63.4404848383596,13B,20,1983,3
-142.66936046091,63.4491580661473,13B,16,1983,3
-142.66936046091,63.457831293935,13B,16,1983,3
-142.678033688698,63.3797722438456,13B,16,1983,3
-142.678033688698,63.3884454716333,13B,20,1983,3
-142.678033688698,63.397118699421,13B,15,1983,3
-142.678033688698,63.4057919272087,13B,15,1983,3
-142.678033688698,63.4144651549964,13B,16,1983,3
-142.678033688698,63.4231383827841,13B,16,1983,3
-142.678033688698,63.4318116105719,13B,16,1983,3
-142.678033688698,63.4404848383596,13B,16,1983,3
-142.678033688698,63.4491580661473,13B,16,1983,3
-142.678033688698,63.457831293935,13B,20,1983,3
-142.686706916485,63.3797722438456,13B,30,1983,3
-142.686706916485,63.3884454716333,13B,16,1983,3
-142.686706916485,63.397118699421,13B,15,2013,3
-142.686706916485,63.4057919272087,13B,16,1983,3
-142.686706916485,63.4144651549964,13B,16,1983,3
-142.686706916485,63.4231383827841,13B,16,1983,3
-142.686706916485,63.4318116105719,13B,16,1983,3
-142.686706916485,63.4404848383596,13B,16,1983,3
-142.686706916485,63.4491580661473,13B,16,1983,3
-142.686706916485,63.457831293935,13B,16,1983,3
-142.695380144273,63.3797722438456,13B,60,1983,3
-142.695380144273,63.3884454716333,13B,15,1983,3
-142.695380144273,63.397118699421,13B,20,2013,3
-142.695380144273,63.4057919272087,13B,20,1983,3
-142.695380144273,63.4144651549964,13B,16,1983,3
-142.695380144273,63.4231383827841,13B,16,1983,3
-142.695380144273,63.4318116105719,13B,16,1983,3
-142.695380144273,63.4404848383596,13B,16,1983,3
-142.695380144273,63.4491580661473,13B,16,1983,3
-142.695380144273,63.457831293935,13B,16,1983,3
-142.704053372061,63.3797722438456,13B,15,1983,3
-142.704053372061,63.3884454716333,13B,15,1983,3
-142.704053372061,63.397118699421,13B,15,2013,3
-142.704053372061,63.4057919272087,13B,20,1983,3
-142.704053372061,63.4144651549964,13B,16,1983,3
-142.704053372061,63.4231383827841,13B,16,1983,3
-142.704053372061,63.4318116105719,13B,16,1983,3
-142.704053372061,63.4404848383596,13B,16,1983,3
-142.704053372061,63.4491580661473,13B,15,1983,3
-142.704053372061,63.457831293935,13B,16,1983,3
-142.712726599849,63.3797722438456,13B,15,1983,3
-142.712726599849,63.3884454716333,13B,15,1983,3
-142.712726599849,63.397118699421,13B,15,2013,3
-142.712726599849,63.4057919272087,13B,15,2013,3
-142.712726599849,63.4144651549964,13B,15,2013,3
-142.712726599849,63.4231383827841,13B,16,1983,3
-142.712726599849,63.4318116105719,13B,12,2013,3
-142.712726599849,63.4404848383596,13B,16,1983,3
-142.712726599849,63.4491580661473,13B,15,2013,3
-142.712726599849,63.457831293935,13B,16,1983,3
-142.721399827636,63.3797722438456,13B,15,1983,3
-142.721399827636,63.3884454716333,13B,16,1983,3
-142.721399827636,63.397118699421,13B,16,1983,3
-142.721399827636,63.4057919272087,13B,15,2013,3
-142.721399827636,63.4144651549964,13B,16,1983,3
-142.721399827636,63.4231383827841,13B,16,1983,3
-142.721399827636,63.4318116105719,13B,12,2013,3
-142.721399827636,63.4404848383596,13B,16,1983,3
-142.721399827636,63.4491580661473,13B,15,2013,3
-142.721399827636,63.457831293935,13B,16,1983,3
-142.730073055424,63.3797722438456,13B,20,1983,3
-142.730073055424,63.3884454716333,13B,16,1983,3
-142.730073055424,63.397118699421,13B,16,1983,3
-142.730073055424,63.4057919272087,13B,15,2013,3
-142.730073055424,63.4144651549964,13B,15,2013,3
-142.730073055424,63.4231383827841,13B,15,2013,3
-142.730073055424,63.4318116105719,13B,16,1983,3
-142.730073055424,63.4404848383596,13B,15,1983,3
-142.730073055424,63.4491580661473,13B,15,2013,3
-142.730073055424,63.457831293935,13B,16,1983,3
-142.738746283212,63.3797722438456,13B,15,1983,3
-142.738746283212,63.3884454716333,13B,15,2013,3
-142.738746283212,63.397118699421,13B,16,1983,3
-142.738746283212,63.4057919272087,13B,15,2013,3
-142.738746283212,63.4144651549964,13B,15,2013,3
-142.738746283212,63.4231383827841,13B,15,1983,3
-142.738746283212,63.4318116105719,13B,16,1983,3
-142.738746283212,63.4404848383596,13B,20,1983,3
-142.738746283212,63.4491580661473,13B,15,2013,3
-142.738746283212,63.457831293935,13B,16,1983,3
-142.747419510999,63.3797722438456,13B,15,1983,3
-142.747419510999,63.3884454716333,13B,15,1983,3
-142.747419510999,63.397118699421,13B,15,1983,3
-142.747419510999,63.4057919272087,13B,15,2013,3
-142.747419510999,63.4144651549964,13B,15,2013,3
-142.747419510999,63.4231383827841,13B,15,1983,3
-142.747419510999,63.4318116105719,13B,15,2013,3
-142.747419510999,63.4404848383596,13B,20,1983,3
-142.747419510999,63.4491580661473,13B,20,2013,3
-142.747419510999,63.457831293935,13B,16,1983,3
-142.756092738787,63.3797722438456,13B,15,1983,3
-142.756092738787,63.3884454716333,13B,16,1983,3
-142.756092738787,63.397118699421,13B,15,1983,3
-142.756092738787,63.4057919272087,13B,15,1983,3
-142.756092738787,63.4144651549964,13B,16,1983,3
-142.756092738787,63.4231383827841,13B,20,1983,3
-142.756092738787,63.4318116105719,13B,15,1983,3
-142.756092738787,63.4404848383596,13B,20,1983,3
-142.756092738787,63.4491580661473,13A,16,1983,3
-142.756092738787,63.457831293935,13A,20,1983,3
-142.764765966575,63.3797722438456,13B,12,2013,3
-142.764765966575,63.3884454716333,13B,15,1983,3
-142.764765966575,63.397118699421,13B,15,1983,3
-142.764765966575,63.4057919272087,13B,15,1983,3
-142.764765966575,63.4144651549964,13B,15,1983,3
-142.764765966575,63.4231383827841,13B,20,1983,3
-142.764765966575,63.4318116105719,13B,15,2013,3
-142.764765966575,63.4404848383596,13B,16,1983,3
-142.764765966575,63.4491580661473,13A,16,1983,3
-142.764765966575,63.457831293935,13A,16,1983,3
-142.773439194363,63.3797722438456,13B,12,2013,3
-142.773439194363,63.3884454716333,13B,15,1983,3
-142.773439194363,63.397118699421,13B,15,1983,3
-142.773439194363,63.4057919272087,13B,16,1983,3
-142.773439194363,63.4144651549964,13B,15,2013,3
-142.773439194363,63.4231383827841,13B,16,1983,3
-142.773439194363,63.4318116105719,13A,15,1983,3
-142.773439194363,63.4404848383596,13A,16,1983,3
-142.773439194363,63.4491580661473,13A,16,1983,3
-142.773439194363,63.457831293935,13A,16,1983,3
-142.78211242215,63.3797722438456,13B,16,1983,3
-142.78211242215,63.3884454716333,13B,15,1983,3
-142.78211242215,63.397118699421,13B,16,1983,3
-142.78211242215,63.4057919272087,13B,16,1983,3
-142.78211242215,63.4144651549964,13B,15,1983,3
-142.78211242215,63.4231383827841,13B,20,1983,3
-142.78211242215,63.4318116105719,13A,16,1983,3
-142.78211242215,63.4404848383596,13A,15,1983,3
-142.78211242215,63.4491580661473,13A,15,1983,3
-142.78211242215,63.457831293935,13A,16,1983,3
-142.790785649938,63.3797722438456,13B,16,1983,3
-142.790785649938,63.3884454716333,13B,16,1983,3
-142.790785649938,63.397118699421,13B,16,1983,3
-142.790785649938,63.4057919272087,13B,15,1983,3
-142.790785649938,63.4144651549964,13B,15,2013,3
-142.790785649938,63.4231383827841,13B,20,1983,3
-142.790785649938,63.4318116105719,13A,15,1983,3
-142.790785649938,63.4404848383596,13A,15,1983,3
-142.790785649938,63.4491580661473,13A,15,2013,3
-142.790785649938,63.457831293935,13A,16,1983,3
-142.799458877726,63.3797722438456,13B,16,1983,3
-142.799458877726,63.3884454716333,13B,16,1983,3
-142.799458877726,63.397118699421,13B,15,1983,3
-142.799458877726,63.4057919272087,13B,15,2013,3
-142.799458877726,63.4144651549964,13B,15,1983,3
-142.799458877726,63.4231383827841,13B,16,1983,3
-142.799458877726,63.4318116105719,13A,15,1983,3
-142.799458877726,63.4404848383596,13A,15,1983,3
-142.799458877726,63.4491580661473,13A,16,1983,3
-142.799458877726,63.457831293935,13A,16,1983,3
-142.808132105513,63.3797722438456,13B,16,1983,3
-142.808132105513,63.3884454716333,13B,16,1983,3
-142.808132105513,63.397118699421,13B,14,2013,3
-142.808132105513,63.4057919272087,13B,10,2013,3
-142.808132105513,63.4144651549964,13B,16,2013,3
-142.808132105513,63.4231383827841,13B,15,1983,3
-142.808132105513,63.4318116105719,13A,15,1983,3
-142.808132105513,63.4404848383596,13A,15,2013,3
-142.808132105513,63.4491580661473,13A,16,1983,3
-142.808132105513,63.457831293935,13A,16,1983,3
-142.816805333301,63.3797722438456,13B,16,1983,3
-142.816805333301,63.3884454716333,13B,16,1983,3
-142.816805333301,63.397118699421,13B,16,1983,3
-142.816805333301,63.4057919272087,13B,15,1983,3
-142.816805333301,63.4144651549964,13B,2,2013,3
-142.816805333301,63.4231383827841,13B,20,1983,3
-142.816805333301,63.4318116105719,13A,15,1983,3
-142.816805333301,63.4404848383596,13A,15,2013,3
-142.816805333301,63.4491580661473,13A,16,1983,3
-142.816805333301,63.457831293935,13A,16,1983,3
-142.816805333301,63.4751777495104,13A,15,2013,3
-142.816805333301,63.5011974328736,13A,16,1983,3
-142.825478561089,63.3797722438456,13B,3,2013,3
-142.825478561089,63.3884454716333,13B,16,1983,3
-142.825478561089,63.397118699421,13B,16,1983,3
-142.825478561089,63.4057919272087,13B,15,1983,3
-142.825478561089,63.4144651549964,13B,16,1983,3
-142.825478561089,63.4231383827841,13A,20,1983,3
-142.825478561089,63.4318116105719,13A,16,1983,3
-142.825478561089,63.4404848383596,13A,15,2013,3
-142.825478561089,63.4491580661473,13A,15,2013,3
-142.825478561089,63.457831293935,13A,16,1983,3
-142.825478561089,63.4665045217227,13A,16,1983,3
-142.825478561089,63.4751777495104,13A,15,2013,3
-142.825478561089,63.4838509772982,13A,16,1983,3
-142.825478561089,63.4925242050859,13A,16,1983,3
-142.825478561089,63.5011974328736,13A,16,1983,3
-142.834151788877,63.3797722438456,13B,3,2013,3
-142.834151788877,63.3884454716333,13B,16,1983,3
-142.834151788877,63.397118699421,13B,16,1983,3
-142.834151788877,63.4057919272087,13B,16,1983,3
-142.834151788877,63.4144651549964,13B,20,1983,3
-142.834151788877,63.4231383827841,13A,15,1983,3
-142.834151788877,63.4318116105719,13A,16,1983,3
-142.834151788877,63.4404848383596,13A,15,1983,3
-142.834151788877,63.4491580661473,13A,15,2013,3
-142.834151788877,63.457831293935,13A,16,1983,3
-142.834151788877,63.4665045217227,13A,16,1983,3
-142.834151788877,63.4751777495104,13A,15,2013,3
-142.834151788877,63.4838509772982,13A,16,1983,3
-142.834151788877,63.4925242050859,13A,16,1983,3
-142.834151788877,63.5011974328736,13A,16,1983,3
-142.842825016664,63.3797722438456,13B,10,2013,3
-142.842825016664,63.3884454716333,13B,10,2013,3
-142.842825016664,63.397118699421,13B,30,1983,3
-142.842825016664,63.4057919272087,13A,20,1983,3
-142.842825016664,63.4144651549964,13A,16,1983,3
-142.842825016664,63.4231383827841,13A,20,1983,3
-142.842825016664,63.4318116105719,13A,20,1983,3
-142.842825016664,63.4404848383596,13A,2,2013,3
-142.842825016664,63.4491580661473,13A,16,1983,3
-142.842825016664,63.457831293935,13A,15,2013,3
-142.842825016664,63.4665045217227,13A,16,1983,3
-142.842825016664,63.4751777495104,13A,15,2013,3
-142.842825016664,63.4838509772982,13A,20,1983,3
-142.842825016664,63.4925242050859,13A,20,1983,3
-142.842825016664,63.5011974328736,13A,16,1983,3
-142.851498244452,63.3797722438456,13B,40,1983,3
-142.851498244452,63.3884454716333,13B,35,1983,3
-142.851498244452,63.397118699421,13B,20,1983,3
-142.851498244452,63.4057919272087,13A,35,1983,3
-142.851498244452,63.4144651549964,13A,16,1983,3
-142.851498244452,63.4231383827841,13A,20,1983,3
-142.851498244452,63.4318116105719,13A,15,1983,3
-142.851498244452,63.4404848383596,13A,2,2013,3
-142.851498244452,63.4491580661473,13A,2,2013,3
-142.851498244452,63.457831293935,13A,15,2013,3
-142.851498244452,63.4665045217227,13A,20,1983,3
-142.851498244452,63.4751777495104,13A,16,1983,3
-142.851498244452,63.4838509772982,13A,20,1983,3
-142.851498244452,63.4925242050859,13A,16,1983,3
-142.851498244452,63.5011974328736,13A,20,1983,3
-142.86017147224,63.3797722438456,13B,40,2013,3
-142.86017147224,63.3884454716333,13B,30,1983,3
-142.86017147224,63.397118699421,13B,30,1983,3
-142.86017147224,63.4057919272087,13A,35,1983,3
-142.86017147224,63.4144651549964,13A,30,1983,3
-142.86017147224,63.4231383827841,13A,16,1983,3
-142.86017147224,63.4318116105719,13A,15,1983,3
-142.86017147224,63.4404848383596,13A,2,2013,3
-142.86017147224,63.4491580661473,13A,2,2013,3
-142.86017147224,63.457831293935,13A,15,2013,3
-142.86017147224,63.4665045217227,13A,15,2013,3
-142.86017147224,63.4751777495104,13A,20,1983,3
-142.86017147224,63.4838509772982,13A,16,1983,3
-142.86017147224,63.4925242050859,13A,20,1983,3
-142.86017147224,63.5011974328736,13A,16,1983,3
-142.868844700027,63.3797722438456,13B,13,2013,3
-142.868844700027,63.3884454716333,13B,40,1983,3
-142.868844700027,63.397118699421,13A,30,1983,3
-142.868844700027,63.4057919272087,13A,35,1983,3
-142.868844700027,63.4144651549964,13A,20,1983,3
-142.868844700027,63.4231383827841,13A,15,1983,3
-142.868844700027,63.4318116105719,13A,16,1983,3
-142.868844700027,63.4404848383596,13A,2,2013,3
-142.868844700027,63.4491580661473,13A,2,1983,3
-142.868844700027,63.457831293935,13A,15,2013,3
-142.868844700027,63.4665045217227,13A,15,2013,3
-142.868844700027,63.4751777495104,13A,20,1983,3
-142.868844700027,63.4838509772982,13A,16,1983,3
-142.868844700027,63.4925242050859,13A,16,1983,3
-142.868844700027,63.5011974328736,13A,16,1983,3
-142.877517927815,63.3797722438456,13B,35,2013,3
-142.877517927815,63.3884454716333,13B,30,1983,3
-142.877517927815,63.397118699421,13A,30,1983,3
-142.877517927815,63.4057919272087,13A,16,1983,3
-142.877517927815,63.4144651549964,13A,15,1983,3
-142.877517927815,63.4231383827841,13A,15,1983,3
-142.877517927815,63.4318116105719,13A,2,1983,3
-142.877517927815,63.4404848383596,13A,2,2013,3
-142.877517927815,63.4491580661473,13A,15,2013,3
-142.877517927815,63.457831293935,13A,15,2013,3
-142.877517927815,63.4665045217227,13A,15,2013,3
-142.877517927815,63.4751777495104,13A,20,1983,3
-142.877517927815,63.4838509772982,13A,16,1983,3
-142.877517927815,63.4925242050859,13A,16,1983,3
-142.877517927815,63.5011974328736,13A,16,1983,3
-142.886191155603,63.3797722438456,13B,13,2013,3
-142.886191155603,63.3884454716333,13A,16,1983,3
-142.886191155603,63.397118699421,13A,16,1983,3
-142.886191155603,63.4057919272087,13A,30,1983,3
-142.886191155603,63.4144651549964,13A,15,2013,3
-142.886191155603,63.4231383827841,13A,16,1983,3
-142.886191155603,63.4318116105719,13A,2,1983,3
-142.886191155603,63.4404848383596,13A,16,1983,3
-142.886191155603,63.4491580661473,13A,15,2013,3
-142.886191155603,63.457831293935,13A,15,2013,3
-142.886191155603,63.4665045217227,13A,15,2013,3
-142.886191155603,63.4751777495104,13A,15,1983,3
-142.886191155603,63.4838509772982,13A,16,1983,3
-142.886191155603,63.4925242050859,13A,16,1983,3
-142.886191155603,63.5011974328736,13A,16,1983,3
-142.894864383391,63.3797722438456,13B,1,2013,3
-142.894864383391,63.3884454716333,13A,16,1983,3
-142.894864383391,63.397118699421,13A,30,1983,3
-142.894864383391,63.4057919272087,13A,30,1983,3
-142.894864383391,63.4144651549964,13A,6,2013,3
-142.894864383391,63.4231383827841,13A,16,1983,3
-142.894864383391,63.4318116105719,13A,20,1983,3
-142.894864383391,63.4404848383596,13A,16,1983,3
-142.894864383391,63.4491580661473,13A,16,1983,3
-142.894864383391,63.457831293935,13A,15,1983,3
-142.894864383391,63.4665045217227,13A,15,1983,3
-142.894864383391,63.4751777495104,13A,15,1983,3
-142.894864383391,63.4838509772982,13A,16,1983,3
-142.894864383391,63.4925242050859,13A,16,1983,3
-142.894864383391,63.5011974328736,13A,16,1983,3
-142.903537611178,63.3797722438456,13B,1,2013,3
-142.903537611178,63.397118699421,13A,30,1983,3
-142.903537611178,63.4057919272087,13A,13,2013,3
-142.903537611178,63.4144651549964,13A,15,2013,3
-142.903537611178,63.4231383827841,13A,20,1983,3
-142.903537611178,63.4318116105719,13A,20,1983,3
-142.903537611178,63.4404848383596,13A,16,1983,3
-142.903537611178,63.4491580661473,13A,30,1983,3
-142.903537611178,63.457831293935,13A,15,1983,3
-142.903537611178,63.4665045217227,13A,16,1983,3
-142.903537611178,63.4751777495104,13A,15,2013,3
-142.903537611178,63.4838509772982,13A,16,1983,3
-142.903537611178,63.4925242050859,13A,20,1983,3
-142.903537611178,63.5011974328736,13A,16,1983,3
-142.912210838966,63.3797722438456,13A,60,2013,3
-142.912210838966,63.3884454716333,13A,60,2013,3
-142.912210838966,63.397118699421,13A,30,1983,3
-142.912210838966,63.4057919272087,13A,13,2013,3
-142.912210838966,63.4144651549964,13A,6,2013,3
-142.912210838966,63.4231383827841,13A,20,1983,3
-142.912210838966,63.4318116105719,13A,15,1983,3
-142.912210838966,63.4404848383596,13A,15,2013,3
-142.912210838966,63.4491580661473,13A,15,1983,3
-142.912210838966,63.457831293935,13A,15,1983,3
-142.912210838966,63.4665045217227,13A,16,1983,3
-142.912210838966,63.4751777495104,13A,15,1983,3
-142.912210838966,63.4838509772982,13A,15,2013,3
-142.912210838966,63.4925242050859,13A,20,1983,3
-142.912210838966,63.5011974328736,13A,16,1983,3
-142.920884066754,63.3624257882701,13A,6,2013,3
-142.920884066754,63.3710990160578,13A,12,2013,3
-142.920884066754,63.3797722438456,13A,15,2013,3
-142.920884066754,63.3884454716333,13A,15,2013,3
-142.920884066754,63.397118699421,13A,13,2013,3
-142.920884066754,63.4057919272087,13A,30,1983,3
-142.920884066754,63.4144651549964,13A,5,2013,3
-142.920884066754,63.4231383827841,13A,20,1983,3
-142.920884066754,63.4318116105719,13A,30,1983,3
-142.920884066754,63.4404848383596,13A,15,1983,3
-142.920884066754,63.4491580661473,13A,15,1983,3
-142.920884066754,63.457831293935,13A,15,1983,3
-142.920884066754,63.4665045217227,13A,15,1983,3
-142.920884066754,63.4751777495104,13A,15,1983,3
-142.920884066754,63.4838509772982,13A,20,1983,3
-142.920884066754,63.4925242050859,13A,20,1983,3
